# ----------------------------------------,,,,,,,
# All Web Site Data,,,,,,,
# Pages,,,,,,,
# 20200427-20200503,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,161,126,0:02:33,125,56.80%,59.01%,$0.00 
/cart.html,57,27,0:00:08,2,100.00%,12.28%,$0.00 
/checkout.html,50,24,0:00:11,3,100.00%,16.00%,$0.00 
/shop.html,48,21,0:01:23,0,0.00%,10.42%,$0.00 
/login.html,44,21,0:00:38,1,0.00%,13.64%,$0.00 
/contact-us.html,18,11,0:00:05,0,0.00%,16.67%,$0.00 
/index.html,17,11,0:00:24,0,0.00%,23.53%,$0.00 
/404.html,16,13,0:00:16,0,0.00%,6.25%,$0.00 
/product-details.html,15,13,0:00:05,1,100.00%,13.33%,$0.00 
/blog-single.html,9,8,0:00:07,0,0.00%,11.11%,$0.00 
,436,276,0:00:55,133,58.65%,30.50%,$0.00 
,,,,,,,
Day Index,Pageviews,,,,,,
4/27/2020,0,,,,,,
4/28/2020,68,,,,,,
4/29/2020,317,,,,,,
4/30/2020,45,,,,,,
5/1/2020,2,,,,,,
5/2/2020,1,,,,,,
5/3/2020,3,,,,,,
,436,,,,,,
